Date,SKU,Product,Sales,Price
2023-01-01,SKU0001,Headphones,54,452.91
2023-01-02,SKU0001,Headphones,33,110.84
2023-01-03,SKU0001,Headphones,12,571.54
2023-01-04,SKU0001,Headphones,71,64.99
2023-01-05,SKU0001,Headphones,44,596.11
2023-01-06,SKU0001,Headphones,60,304.96
2023-01-07,SKU0001,Headphones,14,57.77
2023-01-08,SKU0001,Headphones,60,424.1
2023-01-09,SKU0001,Headphones,48,765.98
2023-01-10,SKU0001,Headphones,87,239.46
2023-01-11,SKU0001,Headphones,63,952.2
2023-01-12,SKU0001,Headphones,16,369.06
2023-01-13,SKU0001,Headphones,82,694.65
2023-01-14,SKU0001,Headphones,13,841.73
2023-01-15,SKU0001,Headphones,37,440.97
2023-01-16,SKU0001,Headphones,92,524.81
2023-01-17,SKU0001,Headphones,61,729.73
2023-01-18,SKU0001,Headphones,92,207.94
2023-01-19,SKU0001,Headphones,50,821.01
2023-01-20,SKU0001,Headphones,16,683.15
2023-01-21,SKU0001,Headphones,22,116.24
2023-01-22,SKU0001,Headphones,68,895.64
2023-01-23,SKU0001,Headphones,61,108.58
2023-01-24,SKU0001,Headphones,51,758.12
2023-01-25,SKU0001,Headphones,90,599.15
2023-01-26,SKU0001,Headphones,62,395.55
2023-01-27,SKU0001,Headphones,70,964.22
2023-01-28,SKU0001,Headphones,34,901.85
2023-01-29,SKU0001,Headphones,24,412.74
2023-01-30,SKU0001,Headphones,24,234.86
2023-01-31,SKU0001,Headphones,31,91.04
2023-02-01,SKU0001,Headphones,58,452.33
2023-02-02,SKU0001,Headphones,38,902.78
2023-02-03,SKU0001,Headphones,82,51.49
2023-02-04,SKU0001,Headphones,73,358.12
2023-02-05,SKU0001,Headphones,86,191.1
2023-02-06,SKU0001,Headphones,58,622.23
2023-02-07,SKU0001,Headphones,17,803.4
2023-02-08,SKU0001,Headphones,70,384.34
2023-02-09,SKU0001,Headphones,56,566.46
2023-02-10,SKU0001,Headphones,62,648.11
2023-02-11,SKU0001,Headphones,24,358.56
2023-02-12,SKU0001,Headphones,54,832.89
2023-02-13,SKU0001,Headphones,17,513.75
2023-02-14,SKU0001,Headphones,57,451.77
2023-02-15,SKU0001,Headphones,30,450.66
2023-02-16,SKU0001,Headphones,73,362.34
2023-02-17,SKU0001,Headphones,35,61.99
2023-02-18,SKU0001,Headphones,72,208.77
2023-02-19,SKU0001,Headphones,14,327.48
2023-02-20,SKU0001,Headphones,10,486.04
2023-02-21,SKU0001,Headphones,42,137.37
2023-02-22,SKU0001,Headphones,34,531.4
2023-02-23,SKU0001,Headphones,13,434.07
2023-02-24,SKU0001,Headphones,71,61.52
2023-02-25,SKU0001,Headphones,91,914.32
2023-02-26,SKU0001,Headphones,51,391.69
2023-02-27,SKU0001,Headphones,10,705.74
2023-02-28,SKU0001,Headphones,38,766.24
2023-03-01,SKU0001,Headphones,30,296.95
2023-03-02,SKU0001,Headphones,17,121.12
2023-03-03,SKU0001,Headphones,50,227.09
2023-03-04,SKU0001,Headphones,50,632.89
2023-03-05,SKU0001,Headphones,15,477.91
2023-03-06,SKU0001,Headphones,11,446.96
2023-03-07,SKU0001,Headphones,89,846.43
2023-03-08,SKU0001,Headphones,75,826.67
2023-03-09,SKU0001,Headphones,25,450.09
2023-03-10,SKU0001,Headphones,54,52.61
2023-03-11,SKU0001,Headphones,49,870.89
2023-03-12,SKU0001,Headphones,81,574.97
2023-03-13,SKU0001,Headphones,96,787.25
2023-03-14,SKU0001,Headphones,33,827.22
2023-03-15,SKU0001,Headphones,61,214.15
2023-03-16,SKU0001,Headphones,27,800.01
2023-03-17,SKU0001,Headphones,87,350.34
2023-03-18,SKU0001,Headphones,54,356.9
2023-03-19,SKU0001,Headphones,92,330.62
2023-03-20,SKU0001,Headphones,96,128.48
